Model,CV R2,CV RMSE,Test R2,Test RMSE
Linear Regression,0.9340039511036281,9550.6761056801,0.8987266414319838,9055.95732349781
Random Forest,0.9360468300099314,9667.167336321849,0.9080466473340388,8629.20020272585
XGBoost,0.9004951892453106,11625.47988033794,0.8024736264367137,12647.343264796114
