Feature,Pearson Correlation,Mutual Information,Chi-Square Score,ANOVA F-Test Score,F-Regression Score,RFE Rank,SFS Rank,Lasso Coefficient,Random Forest Importance,XGBoost Importance
numeric__R&D Spend,0.9730295076473606,1.513474218867556,6.310549960625307,676.1034669260207,676.1034669260207,1,1,37947.567594085,0.9272970093272571,0.9361456
numeric__Administration,0.09023525158111873,0.0,0.3233659513541443,0.3119512559629251,0.3119512559629251,3,2,-1736.602655420728,0.006870054728218549,0.0050715692
numeric__Marketing Spend,0.7737527642728527,1.050488317057359,2.502102722788342,56.69067874632504,56.69067874632504,2,3,3457.1230120716436,0.06293013000732253,0.025612364
state__State_Florida,0.09549061605242211,0.0,1.428571428571429,0.3496900284057378,0.3496900284057378,4,4,493.90909964692014,0.0016942942290093502,0.0035546354
state__State_New York,0.10502771315180127,0.0,2.076923076923077,0.4238465554211522,0.4238465554211522,5,5,-0.0,0.0012085117081923524,0.029615812
